Panel,Comparison,Beauty,Sports and Outdoors,Toys and Games,MovieLens-1M
a,Strongest Baseline,"+0.0042 (0.0008), 0.0002 / 0.0104*","+0.0037 (0.0007), 0.0004 / 0.0172*","+0.0040 (0.0008), 0.0004 / 0.0172*","+0.0085 (0.0013), 0.0002 / 0.0104*"
a,Strongest Semantic-Encoder Alternative,"+0.0025 (0.0007), 0.0010 / 0.0320*","+0.0036 (0.0008), 0.0002 / 0.0104*","+0.0017 (0.0006), 0.0050 / 0.0750","+0.0039 (0.0010), 0.0004 / 0.0172*"
a,Strongest Fusion-Strategy Alternative,"+0.0011 (0.0005), 0.0280 / 0.2400","+0.0009 (0.0004), 0.0240 / 0.2400","+0.0018 (0.0006), 0.0040 / 0.0640","+0.0022 (0.0008), 0.0060 / 0.0840"
b,Noise-Matched Uniform,"+0.0016 (0.0006), 0.0080 / 0.1040","+0.0014 (0.0006), 0.0200 / 0.2400","+0.0009 (0.0005), 0.0700 / 0.3500","+0.0033 (0.0010), 0.0010 / 0.0320*"
b,Shuffled Recency,"+0.0022 (0.0007), 0.0006 / 0.0210*","+0.0020 (0.0007), 0.0010 / 0.0320*","+0.0019 (0.0006), 0.0010 / 0.0320*","+0.0042 (0.0011), 0.0004 / 0.0172*"
b,Reversed Recency,"+0.0029 (0.0007), 0.0004 / 0.0172*","+0.0028 (0.0007), 0.0004 / 0.0172*","+0.0025 (0.0006), 0.0006 / 0.0210*","+0.0053 (0.0011), 0.0002 / 0.0104*"
b,Position-Based Schedule,"+0.0021 (0.0007), 0.0010 / 0.0320*","+0.0017 (0.0006), 0.0020 / 0.0460*","+0.0016 (0.0006), 0.0020 / 0.0460*","+0.0038 (0.0010), 0.0006 / 0.0210*"
b,Clean-Input Transformer,"+0.0025 (0.0007), 0.0010 / 0.0320*","+0.0021 (0.0007), 0.0020 / 0.0460*","+0.0020 (0.0006), 0.0020 / 0.0460*","+0.0044 (0.0011), 0.0004 / 0.0172*"
b,Heteroscedastic Gaussian DAE,"+0.0014 (0.0006), 0.0200 / 0.2400","+0.0012 (0.0006), 0.0460 / 0.3220","+0.0012 (0.0006), 0.0460 / 0.3220","+0.0028 (0.0009), 0.0020 / 0.0460*"
b,Temporal-GTE SASRec,"+0.0061 (0.0009), 0.0002 / 0.0104*","+0.0044 (0.0008), 0.0002 / 0.0104*","+0.0056 (0.0009), 0.0002 / 0.0104*","+0.0067 (0.0013), 0.0002 / 0.0104*"
c,w/o Temporal Bias,"+0.0028 (0.0007), 0.0004 / 0.0172*","+0.0019 (0.0006), 0.0020 / 0.0460*","+0.0021 (0.0006), 0.0010 / 0.0320*","+0.0039 (0.0010), 0.0002 / 0.0104*"
c,Fixed Fusion,"+0.0023 (0.0007), 0.0010 / 0.0320*","+0.0021 (0.0007), 0.0030 / 0.0510","+0.0016 (0.0007), 0.0210 / 0.2400","+0.0031 (0.0009), 0.0010 / 0.0320*"
c,Stage-Specific Priors,"+0.0003 (0.0004), 0.4500 / 1.0000","−0.0004 (0.0004), 0.3200 / 1.0000","+0.0002 (0.0004), 0.6200 / 1.0000","+0.0002 (0.0005), 0.6900 / 1.0000"
