Panel,Dataset,Metric,Noise-Matched Uniform,Shuffled Recency,Reversed Recency,Position-Based Schedule,Clean-Input Transformer,Heteroscedastic Gaussian DAE,Temporal-GTE SASRec,ISDSRec
a,Beauty,HR@10,"0.1008 ± 0.0005 [0.1002, 0.1014]","0.0997 ± 0.0006 [0.0990, 0.1004]","0.0989 ± 0.0006 [0.0982, 0.0996]","0.1001 ± 0.0006 [0.0994, 0.1008]",,,,"0.1039 ± 0.0004 [0.1034, 0.1044]"
a,Beauty,NDCG@10,"0.0544 ± 0.0004 [0.0539, 0.0549]","0.0538 ± 0.0005 [0.0532, 0.0544]","0.0531 ± 0.0005 [0.0525, 0.0537]","0.0539 ± 0.0004 [0.0534, 0.0544]",,,,"0.0560 ± 0.0003 [0.0556, 0.0564]"
a,Sports,HR@10,"0.0946 ± 0.0005 [0.0940, 0.0952]","0.0936 ± 0.0006 [0.0929, 0.0943]","0.0928 ± 0.0006 [0.0921, 0.0935]","0.0940 ± 0.0006 [0.0933, 0.0947]",,,,"0.0964 ± 0.0004 [0.0959, 0.0969]"
a,Sports,NDCG@10,"0.0498 ± 0.0004 [0.0493, 0.0503]","0.0492 ± 0.0005 [0.0486, 0.0498]","0.0484 ± 0.0005 [0.0478, 0.0490]","0.0495 ± 0.0004 [0.0490, 0.0500]",,,,"0.0512 ± 0.0003 [0.0508, 0.0516]"
a,Toys,HR@10,"0.1002 ± 0.0005 [0.0996, 0.1008]","0.0995 ± 0.0006 [0.0988, 0.1002]","0.0987 ± 0.0006 [0.0980, 0.0994]","0.0998 ± 0.0006 [0.0991, 0.1005]",,,,"0.1032 ± 0.0004 [0.1027, 0.1037]"
a,Toys,NDCG@10,"0.0545 ± 0.0004 [0.0540, 0.0550]","0.0535 ± 0.0005 [0.0529, 0.0541]","0.0529 ± 0.0005 [0.0523, 0.0535]","0.0538 ± 0.0004 [0.0533, 0.0543]",,,,"0.0554 ± 0.0003 [0.0550, 0.0558]"
a,MovieLens-1M,HR@10,"0.2173 ± 0.0008 [0.2163, 0.2183]","0.2162 ± 0.0009 [0.2151, 0.2173]","0.2145 ± 0.0009 [0.2134, 0.2156]","0.2168 ± 0.0008 [0.2158, 0.2178]",,,,"0.2230 ± 0.0006 [0.2223, 0.2237]"
a,MovieLens-1M,NDCG@10,"0.1179 ± 0.0006 [0.1172, 0.1186]","0.1170 ± 0.0006 [0.1163, 0.1177]","0.1159 ± 0.0007 [0.1150, 0.1168]","0.1174 ± 0.0006 [0.1167, 0.1181]",,,,"0.1212 ± 0.0004 [0.1207, 0.1217]"
b,Beauty,HR@10,,,,,"0.0995 ± 0.0006 [0.0988, 0.1002]","0.1010 ± 0.0005 [0.1004, 0.1016]",,"0.1039 ± 0.0004 [0.1034, 0.1044]"
b,Beauty,NDCG@10,,,,,"0.0535 ± 0.0005 [0.0529, 0.0541]","0.0546 ± 0.0004 [0.0541, 0.0551]",,"0.0560 ± 0.0003 [0.0556, 0.0564]"
b,Sports,HR@10,,,,,"0.0935 ± 0.0006 [0.0928, 0.0942]","0.0948 ± 0.0005 [0.0942, 0.0954]",,"0.0964 ± 0.0004 [0.0959, 0.0969]"
b,Sports,NDCG@10,,,,,"0.0491 ± 0.0005 [0.0485, 0.0497]","0.0500 ± 0.0004 [0.0495, 0.0505]",,"0.0512 ± 0.0003 [0.0508, 0.0516]"
b,Toys,HR@10,,,,,"0.0993 ± 0.0006 [0.0986, 0.1000]","0.1005 ± 0.0005 [0.0999, 0.1011]",,"0.1032 ± 0.0004 [0.1027, 0.1037]"
b,Toys,NDCG@10,,,,,"0.0534 ± 0.0005 [0.0528, 0.0540]","0.0542 ± 0.0004 [0.0537, 0.0547]",,"0.0554 ± 0.0003 [0.0550, 0.0558]"
b,MovieLens-1M,HR@10,,,,,"0.2159 ± 0.0009 [0.2148, 0.2170]","0.2181 ± 0.0008 [0.2171, 0.2191]",,"0.2230 ± 0.0006 [0.2223, 0.2237]"
b,MovieLens-1M,NDCG@10,,,,,"0.1168 ± 0.0007 [0.1159, 0.1177]","0.1184 ± 0.0006 [0.1177, 0.1191]",,"0.1212 ± 0.0004 [0.1207, 0.1217]"
c,Beauty,HR@10,,,,,,,"0.0948 ± 0.0007 [0.0939, 0.0957]","0.1039 ± 0.0004 [0.1034, 0.1044]"
c,Beauty,NDCG@10,,,,,,,"0.0499 ± 0.0006 [0.0492, 0.0506]","0.0560 ± 0.0003 [0.0556, 0.0564]"
c,Sports,HR@10,,,,,,,"0.0895 ± 0.0007 [0.0886, 0.0904]","0.0964 ± 0.0004 [0.0959, 0.0969]"
c,Sports,NDCG@10,,,,,,,"0.0468 ± 0.0006 [0.0461, 0.0475]","0.0512 ± 0.0003 [0.0508, 0.0516]"
c,Toys,HR@10,,,,,,,"0.0945 ± 0.0007 [0.0936, 0.0954]","0.1032 ± 0.0004 [0.1027, 0.1037]"
c,Toys,NDCG@10,,,,,,,"0.0498 ± 0.0006 [0.0491, 0.0505]","0.0554 ± 0.0003 [0.0550, 0.0558]"
c,MovieLens-1M,HR@10,,,,,,,"0.2138 ± 0.0010 [0.2126, 0.2150]","0.2230 ± 0.0006 [0.2223, 0.2237]"
c,MovieLens-1M,NDCG@10,,,,,,,"0.1145 ± 0.0007 [0.1136, 0.1154]","0.1212 ± 0.0004 [0.1207, 0.1217]"
