Panel,Dataset,Metric,w/o Temporal Bias,Exclude Final Position,Fixed Fusion,History-Length Gate,Behavior-Only Gate,Stage-Specific Priors,ISDSRec
a,Beauty,HR@10,"0.1003 ± 0.0006 [0.0996, 0.1010]","0.1034 ± 0.0006 [0.1027, 0.1041]",,,,,"0.1039 ± 0.0004 [0.1034, 0.1044]"
a,Beauty,NDCG@10,"0.0532 ± 0.0005 [0.0526, 0.0538]","0.0557 ± 0.0005 [0.0551, 0.0563]",,,,,"0.0560 ± 0.0003 [0.0556, 0.0564]"
a,Sports,HR@10,"0.0938 ± 0.0006 [0.0931, 0.0945]","0.0960 ± 0.0006 [0.0953, 0.0967]",,,,,"0.0964 ± 0.0004 [0.0959, 0.0969]"
a,Sports,NDCG@10,"0.0493 ± 0.0005 [0.0487, 0.0499]","0.0510 ± 0.0005 [0.0504, 0.0516]",,,,,"0.0512 ± 0.0003 [0.0508, 0.0516]"
a,Toys,HR@10,"0.0997 ± 0.0006 [0.0990, 0.1004]","0.1028 ± 0.0006 [0.1021, 0.1035]",,,,,"0.1032 ± 0.0004 [0.1027, 0.1037]"
a,Toys,NDCG@10,"0.0533 ± 0.0005 [0.0527, 0.0539]","0.0552 ± 0.0005 [0.0546, 0.0558]",,,,,"0.0554 ± 0.0003 [0.0550, 0.0558]"
a,MovieLens-1M,HR@10,"0.2176 ± 0.0009 [0.2165, 0.2187]","0.2227 ± 0.0009 [0.2216, 0.2238]",,,,,"0.2230 ± 0.0006 [0.2223, 0.2237]"
a,MovieLens-1M,NDCG@10,"0.1173 ± 0.0006 [0.1166, 0.1180]","0.1210 ± 0.0006 [0.1203, 0.1217]",,,,,"0.1212 ± 0.0004 [0.1207, 0.1217]"
b,Beauty,HR@10,,,"0.0999 ± 0.0006 [0.0992, 0.1006]","0.1022 ± 0.0006 [0.1015, 0.1029]","0.1035 ± 0.0006 [0.1028, 0.1042]",,"0.1039 ± 0.0004 [0.1034, 0.1044]"
b,Beauty,NDCG@10,,,"0.0537 ± 0.0005 [0.0531, 0.0543]","0.0549 ± 0.0005 [0.0543, 0.0555]","0.0557 ± 0.0005 [0.0551, 0.0563]",,"0.0560 ± 0.0003 [0.0556, 0.0564]"
b,Sports,HR@10,,,"0.0951 ± 0.0006 [0.0944, 0.0958]","0.0948 ± 0.0006 [0.0941, 0.0955]","0.0961 ± 0.0006 [0.0954, 0.0968]",,"0.0964 ± 0.0004 [0.0959, 0.0969]"
b,Sports,NDCG@10,,,"0.0491 ± 0.0005 [0.0485, 0.0497]","0.0506 ± 0.0005 [0.0500, 0.0512]","0.0510 ± 0.0005 [0.0504, 0.0516]",,"0.0512 ± 0.0003 [0.0508, 0.0516]"
b,Toys,HR@10,,,"0.1001 ± 0.0006 [0.0994, 0.1008]","0.1024 ± 0.0006 [0.1017, 0.1031]","0.1030 ± 0.0006 [0.1023, 0.1037]",,"0.1032 ± 0.0004 [0.1027, 0.1037]"
b,Toys,NDCG@10,,,"0.0538 ± 0.0005 [0.0532, 0.0544]","0.0558 ± 0.0005 [0.0552, 0.0564]","0.0555 ± 0.0005 [0.0549, 0.0561]",,"0.0554 ± 0.0003 [0.0550, 0.0558]"
b,MovieLens-1M,HR@10,,,"0.2184 ± 0.0009 [0.2173, 0.2195]","0.2211 ± 0.0009 [0.2200, 0.2222]","0.2225 ± 0.0009 [0.2214, 0.2236]",,"0.2230 ± 0.0006 [0.2223, 0.2237]"
b,MovieLens-1M,NDCG@10,,,"0.1181 ± 0.0006 [0.1174, 0.1188]","0.1205 ± 0.0006 [0.1198, 0.1212]","0.1209 ± 0.0006 [0.1202, 0.1216]",,"0.1212 ± 0.0004 [0.1207, 0.1217]"
c,Beauty,HR@10,,,,,,"0.1043 ± 0.0006 [0.1036, 0.1050]","0.1039 ± 0.0004 [0.1034, 0.1044]"
c,Beauty,NDCG@10,,,,,,"0.0557 ± 0.0005 [0.0551, 0.0563]","0.0560 ± 0.0003 [0.0556, 0.0564]"
c,Sports,HR@10,,,,,,"0.0960 ± 0.0006 [0.0953, 0.0967]","0.0964 ± 0.0004 [0.0959, 0.0969]"
c,Sports,NDCG@10,,,,,,"0.0516 ± 0.0005 [0.0510, 0.0522]","0.0512 ± 0.0003 [0.0508, 0.0516]"
c,Toys,HR@10,,,,,,"0.1025 ± 0.0006 [0.1018, 0.1032]","0.1032 ± 0.0004 [0.1027, 0.1037]"
c,Toys,NDCG@10,,,,,,"0.0552 ± 0.0005 [0.0546, 0.0558]","0.0554 ± 0.0003 [0.0550, 0.0558]"
c,MovieLens-1M,HR@10,,,,,,"0.2232 ± 0.0009 [0.2221, 0.2243]","0.2230 ± 0.0006 [0.2223, 0.2237]"
c,MovieLens-1M,NDCG@10,,,,,,"0.1210 ± 0.0006 [0.1203, 0.1217]","0.1212 ± 0.0004 [0.1207, 0.1217]"
