dataset,method,short_mean,short_ci_low,short_ci_high,medium_mean,medium_ci_low,medium_ci_high,long_mean,long_ci_low,long_ci_high
Beauty,TiSASRec,0.0453,0.0447,0.0459,0.0428,0.0422,0.0433,0.0388,0.0382,0.0394
Beauty,DiffuRec,0.0507,0.0498,0.0516,0.0475,0.0469,0.048,0.0443,0.0437,0.0449
Beauty,ADRec,0.0542,0.0535,0.0549,0.0518,0.051,0.0526,0.0493,0.0487,0.0498
Beauty,ISDSRec,0.057,0.0562,0.0578,0.0557,0.0549,0.0564,0.0553,0.0547,0.0559
Sports and Outdoors,TiSASRec,0.0422,0.0416,0.0427,0.04,0.0392,0.0408,0.0366,0.0358,0.0374
Sports and Outdoors,DiffuRec,0.0459,0.0451,0.0467,0.044,0.0434,0.0446,0.0408,0.0402,0.0413
Sports and Outdoors,ADRec,0.0495,0.0488,0.0502,0.0469,0.0463,0.0474,0.045,0.0442,0.0458
Sports and Outdoors,ISDSRec,0.0517,0.0511,0.0523,0.0516,0.0508,0.0523,0.0504,0.0498,0.051
Toys and Games,TiSASRec,0.045,0.0444,0.0456,0.042,0.0413,0.0427,0.0384,0.0378,0.039
Toys and Games,DiffuRec,0.0494,0.0488,0.0499,0.0478,0.047,0.0486,0.0438,0.0429,0.0447
Toys and Games,ADRec,0.0534,0.0528,0.054,0.0518,0.0512,0.0524,0.049,0.0481,0.0498
Toys and Games,ISDSRec,0.057,0.0562,0.0578,0.055,0.0544,0.0556,0.0541,0.0534,0.0547
MovieLens-1M,TiSASRec,0.101,0.0998,0.1022,0.0978,0.0969,0.0988,0.0925,0.0912,0.0939
MovieLens-1M,DiffuRec,0.1093,0.1083,0.1104,0.1065,0.1057,0.1074,0.1013,0.1001,0.1025
MovieLens-1M,ADRec,0.1156,0.1147,0.1165,0.1125,0.1118,0.1133,0.11,0.1089,0.1111
MovieLens-1M,ISDSRec,0.1228,0.122,0.1237,0.1219,0.1213,0.1225,0.1189,0.1179,0.1199
