dataset,method,sparse_mean,sparse_ci_low,sparse_ci_high,medium_activity_mean,medium_activity_ci_low,medium_activity_ci_high,active_mean,active_ci_low,active_ci_high,tail_mean,tail_ci_low,tail_ci_high,mid_popularity_mean,mid_popularity_ci_low,mid_popularity_ci_high,head_mean,head_ci_low,head_ci_high
Beauty,SASRec,0.0357,0.0352,0.0362,0.0418,0.0413,0.0424,0.0447,0.044,0.0455,0.034,0.0334,0.0346,0.0413,0.0407,0.042,0.0476,0.0472,0.048
Beauty,LLM-ESR,0.0457,0.0451,0.0463,0.0503,0.0499,0.0508,0.0517,0.0511,0.0522,0.0455,0.0449,0.0462,0.0495,0.049,0.05,0.053,0.0524,0.0537
Beauty,ADRec,0.0474,0.0468,0.048,0.053,0.0524,0.0536,0.0552,0.0547,0.0557,0.0471,0.0467,0.0476,0.0523,0.0516,0.0531,0.0565,0.0558,0.0573
Beauty,ISDSRec,0.0527,0.052,0.0534,0.0574,0.0568,0.0579,0.058,0.0573,0.0587,0.0529,0.0524,0.0534,0.0566,0.056,0.0572,0.059,0.0584,0.0596
Sports and Outdoors,SASRec,0.0312,0.0305,0.0319,0.037,0.0364,0.0377,0.0404,0.0397,0.041,0.0301,0.0294,0.0308,0.0363,0.0357,0.037,0.0423,0.0415,0.0431
Sports and Outdoors,LLM-ESR,0.0417,0.041,0.0424,0.0461,0.0455,0.0467,0.0483,0.0479,0.0487,0.0421,0.0415,0.0427,0.0452,0.0447,0.0458,0.0487,0.0483,0.0491
Sports and Outdoors,ADRec,0.0426,0.042,0.0432,0.0479,0.0473,0.0484,0.0509,0.0502,0.0516,0.043,0.0423,0.0437,0.0474,0.0469,0.048,0.0513,0.0507,0.0518
Sports and Outdoors,ISDSRec,0.0478,0.0471,0.0485,0.0524,0.0518,0.053,0.0537,0.0531,0.0543,0.0479,0.047,0.0488,0.0511,0.0504,0.0518,0.0549,0.0544,0.0553
Toys and Games,SASRec,0.0342,0.0336,0.0348,0.04,0.0396,0.0404,0.0426,0.0418,0.0433,0.0322,0.0314,0.033,0.039,0.0384,0.0397,0.0458,0.0453,0.0463
Toys and Games,LLM-ESR,0.0453,0.0448,0.0458,0.0494,0.0487,0.0501,0.0526,0.052,0.0533,0.0456,0.045,0.0462,0.0495,0.049,0.0501,0.0526,0.0519,0.0533
Toys and Games,ADRec,0.0466,0.0458,0.0473,0.0528,0.0521,0.0535,0.055,0.0544,0.0555,0.0467,0.0459,0.0476,0.0517,0.051,0.0523,0.056,0.0555,0.0565
Toys and Games,ISDSRec,0.0515,0.0509,0.0521,0.0564,0.0556,0.0571,0.0585,0.0579,0.0592,0.0519,0.0513,0.0526,0.0558,0.055,0.0565,0.0587,0.0582,0.0591
MovieLens-1M,SASRec,0.0887,0.0879,0.0896,0.0933,0.0928,0.0939,0.0964,0.0957,0.0971,0.0871,0.086,0.0881,0.0931,0.0922,0.0939,0.0981,0.0972,0.099
MovieLens-1M,LLM-ESR,0.1045,0.1037,0.1054,0.1072,0.1067,0.1077,0.1097,0.1091,0.1103,0.1025,0.1018,0.1031,0.1073,0.1065,0.1081,0.1118,0.1112,0.1124
MovieLens-1M,ADRec,0.1099,0.1091,0.1107,0.1129,0.1124,0.1135,0.1154,0.1149,0.116,0.1078,0.1073,0.1083,0.1132,0.1127,0.1137,0.1175,0.1168,0.1182
MovieLens-1M,ISDSRec,0.1189,0.1183,0.1195,0.1216,0.1211,0.122,0.1233,0.1227,0.1239,0.1168,0.1162,0.1174,0.1217,0.1212,0.1221,0.1253,0.1249,0.1257
