parameter,value,beauty_mean,beauty_ci_low,beauty_ci_high,sports_and_outdoors_mean,sports_and_outdoors_ci_low,sports_and_outdoors_ci_high,toys_and_games_mean,toys_and_games_ci_low,toys_and_games_ci_high,movielens_1m_mean,movielens_1m_ci_low,movielens_1m_ci_high
gamma,0,0.0545,0.054,0.055,0.0498,0.0494,0.0502,0.0545,0.054,0.0551,0.1195,0.1189,0.12
gamma,0.2,0.055,0.0545,0.0555,0.0504,0.05,0.0508,0.055,0.0545,0.0555,0.1202,0.1197,0.1207
gamma,0.4,0.0559,0.0556,0.0562,0.051,0.0505,0.0515,0.0555,0.0548,0.0562,0.1209,0.1204,0.1214
gamma,0.6,0.0557,0.0549,0.0565,0.0512,0.0507,0.0517,0.0557,0.0549,0.0565,0.1212,0.1207,0.1217
gamma,0.8,0.056,0.0556,0.0564,0.0512,0.0508,0.0516,0.0554,0.055,0.0558,0.121,0.1205,0.1215
gamma,1.0,0.0552,0.0547,0.0557,0.0504,0.05,0.0508,0.055,0.0544,0.0557,0.1203,0.1198,0.1208
lambda_noise,0,0.0544,0.0539,0.0549,0.0498,0.0494,0.0503,0.0544,0.0539,0.055,0.1194,0.1188,0.12
lambda_noise,0.1,0.0549,0.0547,0.055,0.0503,0.0499,0.0508,0.0549,0.0544,0.0553,0.1199,0.1194,0.1204
lambda_noise,0.3,0.0554,0.0548,0.0561,0.051,0.0505,0.0515,0.0554,0.0548,0.0561,0.1212,0.1207,0.1217
lambda_noise,0.5,0.056,0.0556,0.0564,0.0512,0.0508,0.0516,0.0554,0.055,0.0558,0.1213,0.1208,0.1218
lambda_noise,0.7,0.0561,0.0557,0.0564,0.0511,0.0507,0.0515,0.0557,0.055,0.0564,0.1211,0.1206,0.1216
lambda_noise,1.0,0.0551,0.0545,0.0556,0.0505,0.0501,0.0509,0.0551,0.0545,0.0556,0.1204,0.1199,0.1209
lambda_diff,0,0.0545,0.0537,0.0552,0.0499,0.0495,0.0504,0.0545,0.0537,0.0552,0.1196,0.1191,0.1201
lambda_diff,0.05,0.055,0.0542,0.0557,0.0505,0.0501,0.0509,0.055,0.0542,0.0557,0.1201,0.1196,0.1206
lambda_diff,0.1,0.0555,0.0547,0.0563,0.0509,0.0504,0.0514,0.0555,0.0547,0.0563,0.1207,0.1202,0.1212
lambda_diff,0.2,0.0558,0.055,0.0566,0.0512,0.0507,0.0517,0.0558,0.055,0.0566,0.1212,0.1207,0.1217
lambda_diff,0.4,0.056,0.0556,0.0564,0.0512,0.0508,0.0516,0.0554,0.055,0.0558,0.1211,0.1206,0.1216
lambda_diff,0.6,0.0553,0.0545,0.0561,0.051,0.0505,0.0515,0.0553,0.0545,0.0561,0.1208,0.1203,0.1213
lambda_diff,0.8,0.0549,0.0543,0.0555,0.0505,0.0501,0.0509,0.0547,0.0539,0.0555,0.1201,0.1196,0.1206
t_inf,0,0.0539,0.0533,0.0545,0.0495,0.0491,0.0499,0.0539,0.0533,0.0545,0.1189,0.1184,0.1195
t_inf,10,0.0549,0.0544,0.0554,0.0501,0.0496,0.0506,0.0548,0.0541,0.0554,0.1198,0.1193,0.1203
t_inf,20,0.0553,0.0546,0.0561,0.0507,0.0502,0.0512,0.0553,0.0545,0.0561,0.1206,0.1201,0.1211
t_inf,40,0.056,0.0556,0.0564,0.0512,0.0508,0.0516,0.0559,0.0551,0.0566,0.1212,0.1207,0.1217
t_inf,60,0.0556,0.0548,0.0565,0.0513,0.0508,0.0518,0.0556,0.0548,0.0565,0.1212,0.1207,0.1217
t_inf,80,0.0551,0.0543,0.0558,0.0509,0.0504,0.0514,0.055,0.0543,0.0558,0.1203,0.1198,0.1208
t_inf,100,0.0543,0.0536,0.0549,0.0502,0.0497,0.0507,0.0543,0.0536,0.0549,0.1196,0.1191,0.1202
